KEY,CN,TC_NT,TC_USD
Text_1_1662,紧张什么，我们这次也不是来打架的。,緊張什麼，我們這次也不是來打架的。,緊張什麼，我們這次也不是來打架的。
Text_1_1663,嘛，(￣_，￣ )能在浴场再次遇见也算是巧合了 。,嘛，(￣_，￣ )能在浴場再次遇見也算是巧合了 。,嘛，(￣_，￣ )能在浴場再次遇見也算是巧合了 。
Text_1_1664,（正玩得兴起）管你是来干什么的！你们的欧派老娘统统都收了！,（正玩得興起）管你是來幹什麼的！你們的歐派老娘統統都收了！,（正玩得興起）管你是來幹什麼的！你們的歐派老娘統統都收了！
Text_1_1665,￣△￣学校发布了新的任务了，大家集合！,￣△￣學校發佈了新的任務了，大家集合！,￣△￣學校發佈了新的任務了，大家集合！
Text_1_1666,(⊙?⊙)什么什么？,(⊙?⊙)什麼什麼？,(⊙?⊙)什麼什麼？
Text_1_1667,——我们必须护送一批秘药安全抵达目的地。,——我們必須護送一批秘藥安全抵達目的地。,——我們必須護送一批秘藥安全抵達目的地。
Text_1_1668,这次任务，决不能有失！,這次任務，決不能有失！,這次任務，決不能有失！
Text_1_1669,（偷听）秘药？什么秘药？半藏的秘药……(ˉ﹃ˉ)肯定是丰胸秘药！,（偷聽）秘藥？什麼秘藥？半藏的秘藥……(ˉ﹃ˉ)肯定是豐胸秘藥！,（偷聽）秘藥？什麼秘藥？半藏的秘藥……(ˉ﹃ˉ)肯定是豐胸秘藥！
Text_1_1670,(╰_╯)#我就知道一定有人在搞鬼。,(╰_╯)#我就知道一定有人在搞鬼。,(╰_╯)#我就知道一定有人在搞鬼。
Text_1_1671,哼哼，(￣_，￣ )你们半藏的秘药我拿到了！,哼哼，(￣_，￣ )你們半藏的秘藥我拿到了！,哼哼，(￣_，￣ )你們半藏的秘藥我拿到了！
Text_1_1672,怎么办，秘药被……,怎麼辦，秘藥被……,怎麼辦，秘藥被……
Text_1_1673,别担心，云雀由我来保护！,別擔心，雲雀由我來保護！,別擔心，雲雀由我來保護！
Text_1_1674,……你个混蛋竟然一而再再而三的无视我！找死！,……你個混蛋竟然一而再再而三的無視我！找死！,……你個混蛋竟然一而再再而三的無視我！找死！
Text_1_1675,秘药的事情被泄露出去了，怎么办？,秘藥的事情被洩露出去了，怎麼辦？,秘藥的事情被洩露出去了，怎麼辦？
Text_1_1676,看样子现在只能先把剩下的护送过去了。,看樣子現在只能先把剩下的護送過去了。,看樣子現在只能先把剩下的護送過去了。
Text_1_1677,由于秘药的消息走漏出去，现在药主人的性命受到威胁,由於秘藥的消息走漏出去，現在藥主人的性命受到威脅,由於秘藥的消息走漏出去，現在藥主人的性命受到威脅
Text_1_1678,(╰_╯)#事态紧急，大家火速去往药主人身边保护他的安全！,(╰_╯)#事態緊急，大家火速去往藥主人身邊保護他的安全！,(╰_╯)#事態緊急，大家火速去往藥主人身邊保護他的安全！
Text_1_1679,焰！(⊙?⊙)你们蛇女也在这里吗？,焰！(⊙?⊙)你們蛇女也在這裡嗎？,焰！(⊙?⊙)你們蛇女也在這裡嗎？
Text_1_1680,嗯，上面有任务让我们找到药主人……,嗯，上面有任務讓我們找到藥主人……,嗯，上面有任務讓我們找到藥主人……
Text_1_1681,啊，(⊙?⊙)我们也是呢！,啊，(⊙?⊙)我們也是呢！,啊，(⊙?⊙)我們也是呢！
Text_1_1682,哼，(￣_，￣ )那就看谁先找到了！,哼，(￣_，￣ )那就看誰先找到了！,哼，(￣_，￣ )那就看誰先找到了！
Text_1_1683,看来是我先到了！,看來是我先到了！,看來是我先到了！
Text_1_1684,啊呀，果然还是焰更厉害——,啊呀，果然還是焰更厲害——,啊呀，果然還是焰更厲害——
Text_1_1685,( ⊙ o ⊙ )啊——！！！你杀了他！！焰——,( ⊙ o ⊙ )啊——！！！你殺了他！！焰——,( ⊙ o ⊙ )啊——！！！你殺了他！！焰——
Text_1_1686,(￣～￣) 没错，这就是我的任务。,(￣～￣) 沒錯，這就是我的任務。,(￣～￣) 沒錯，這就是我的任務。
Text_1_1687,你怎么可以这么从容的斩人呢？！,你怎麼可以這麼從容的斬人呢？！,你怎麼可以這麼從容的斬人呢？！
Text_1_1688,呵，你到现在还自以为是地认为恶忍和善忍是一样的吗？,呵，你到現在還自以為是地認為惡忍和善忍是一樣的嗎？,呵，你到現在還自以為是地認為惡忍和善忍是一樣的嗎？
Text_1_1689,(? _ ?)飞鸟同学……这次受到的打击很大呢。,(? _ ?)飛鳥同學……這次受到的打擊很大呢。,(? _ ?)飛鳥同學……這次受到的打擊很大呢。
Text_1_1690,看来我们低估了蛇女那帮人的狠厉程度。,看來我們低估了蛇女那幫人的狠厲程度。,看來我們低估了蛇女那幫人的狠厲程度。
Text_1_1691,(ˉ﹃ˉ)看来你们人类的种类之间区别也很大呢。,(ˉ﹃ˉ)看來你們人類的種類之間區別也很大呢。,(ˉ﹃ˉ)看來你們人類的種類之間區別也很大呢。
Text_1_1692,应该也是两方启蒙教导不一致的关系吧。,應該也是兩方啟蒙教導不一致的關係吧。,應該也是兩方啟蒙教導不一致的關係吧。
Text_1_1693,听说蛇女的讲师铃音，从前也曾是一名善忍呢。,聽說蛇女的講師鈴音，從前也曾是一名善忍呢。,聽說蛇女的講師鈴音，從前也曾是一名善忍呢。
Text_1_1694,哦？教出来的学生下手居然如此狠辣，我到想去会一会这个人。,哦？教出來的學生下手居然如此狠辣，我到想去會一會這個人。,哦？教出來的學生下手居然如此狠辣，我到想去會一會這個人。
Text_1_1695,这位同学，你应该不是我们蛇女的学生吧？,這位同學，你應該不是我們蛇女的學生吧？,這位同學，你應該不是我們蛇女的學生吧？
Text_1_1696,糟了，被发现了。,糟了，被發現了。,糟了，被發現了。
Text_1_1697,兔,兔,兔
Text_1_1698,这人我见过，她经常和半藏那群人在一起。,這人我見過，她經常和半藏那群人在一起。,這人我見過，她經常和半藏那群人在一起。
Text_1_1699,半藏……吗，随便打打装个样子就好了不要杀了她。,半藏……嗎，隨便打打裝個樣子就好了不要殺了她。,半藏……嗎，隨便打打裝個樣子就好了不要殺了她。
Text_1_1700,呼——她们没有追上来吧？,呼——她們沒有追上來吧？,呼——她們沒有追上來吧？
Text_1_1701,欸？你——你怎么也在这——,欸？你——你怎麼也在這——,欸？你——你怎麼也在這——
Text_1_1702,云雀？你一个人来半藏干什么？！,雲雀？你一個人來半藏幹什麼？！,雲雀？你一個人來半藏幹什麼？！
Text_1_1703,云雀……云雀……,雲雀……雲雀……,雲雀……雲雀……
Text_1_1704,小云雀是来投靠我们蛇女学院的~,小雲雀是來投靠我們蛇女學院的~,小雲雀是來投靠我們蛇女學院的~
Text_1_1705,(⊙?⊙)什么——？！,(⊙?⊙)什麼——？！,(⊙?⊙)什麼——？！
Text_1_1706,(ˉ﹃ˉ)云雀、云雀是来投靠春花小姐和蛇女的大家的……,(ˉ﹃ˉ)雲雀、雲雀是來投靠春花小姐和蛇女的大家的……,(ˉ﹃ˉ)雲雀、雲雀是來投靠春花小姐和蛇女的大家的……
Text_1_1707,哦？你凭什么认为我们会这么轻易的就接受你的投靠？,哦？你憑什麼認為我們會這麼輕易的就接受你的投靠？,哦？你憑什麼認為我們會這麼輕易的就接受你的投靠？
Text_1_1708,就是，(￣_，￣ )明明就是半藏的学生，突然偷了超秘传忍法书来，一定有鬼！,就是，(￣_，￣ )明明就是半藏的學生，突然偷了超秘傳忍法書來，一定有鬼！,就是，(￣_，￣ )明明就是半藏的學生，突然偷了超秘傳忍法書來，一定有鬼！
Text_1_1709,￣△￣什么？！还偷了——？？,￣△￣什麼？！還偷了——？？,￣△￣什麼？！還偷了——？？
Text_1_1710,哼，我未来第一个不认同你！,哼，我未來第一個不認同你！,哼，我未來第一個不認同你！
Text_1_1711,(?_?)其实……云雀是被那枚耳钉操控了，才……,(?_?)其實……雲雀是被那枚耳釘操控了，才……,(?_?)其實……雲雀是被那枚耳釘操控了，才……
Text_1_1712,春花的耳钉……？她的傀儡术已经精妙到了这种地步了吗？,春花的耳釘……？她的傀儡術已經精妙到了這種地步了嗎？,春花的耳釘……？她的傀儡術已經精妙到了這種地步了嗎？
Text_1_1713,(?_?)是云雀自己太弱了，云雀犯下的错，云雀要自己弥补！,(?_?)是雲雀自己太弱了，雲雀犯下的錯，雲雀要自己彌補！,(?_?)是雲雀自己太弱了，雲雀犯下的錯，雲雀要自己彌補！
Text_1_1714,哼，不过是比我厉害那么一点点！,哼，不過是比我厲害那麼一點點！,哼，不過是比我厲害那麼一點點！
Text_1_1715,哦，?(????)欧派也比你大一倍。,哦，?(????)歐派也比你大一倍。,哦，?(????)歐派也比你大一倍。
Text_1_1716,哦不对，?(????)大好几倍而已。,哦不對，?(????)大好幾倍而已。,哦不對，?(????)大好幾倍而已。
Text_1_1717,(╯‵□′)╯︵┻━┻你们这些混蛋！！！我绝对不认可你们！！！,(╯‵□′)╯︵┻━┻你們這些混蛋！！！我絕對不認可你們！！！,(╯‵□′)╯︵┻━┻你們這些混蛋！！！我絕對不認可你們！！！
Text_1_1718,(⊙?⊙)那个……云雀酱，你喜欢豆芽菜吗？,(⊙?⊙)那個……雲雀醬，你喜歡豆芽菜嗎？,(⊙?⊙)那個……雲雀醬，你喜歡豆芽菜嗎？
Text_1_1719,……(⊙?⊙)哈？,……(⊙?⊙)哈？,……(⊙?⊙)哈？
Text_1_1720,嗯…豆芽菜好吃又便宜，云雀很喜欢豆芽菜啊。,嗯…豆芽菜好吃又便宜，雲雀很喜歡豆芽菜啊。,嗯…豆芽菜好吃又便宜，雲雀很喜歡豆芽菜啊。
Text_1_1721,（一把抱住云雀）呀——！！(╯3╰)云雀一定不会坏人！！,（一把抱住雲雀）呀——！！(╯3╰)雲雀一定不會壞人！！,（一把抱住雲雀）呀——！！(╯3╰)雲雀一定不會壞人！！
Text_1_1722,喂喂。我们可是恶忍啊，不是坏人怎么行……,喂喂。我們可是惡忍啊，不是壞人怎麼行……,喂喂。我們可是惡忍啊，不是壞人怎麼行……
Text_1_1723,咏，好歹认真一下。,詠，好歹認真一下。,詠，好歹認真一下。
Text_1_1724,啊，好嘛好嘛，(╯▽╰)云雀酱，我认可你！,啊，好嘛好嘛，(╯▽╰)雲雀醬，我認可你！,啊，好嘛好嘛，(╯▽╰)雲雀醬，我認可你！
Text_1_1725,呃，谢、谢谢你，咏小姐。,呃，謝、謝謝你，詠小姐。,呃，謝、謝謝你，詠小姐。
Text_1_1726,嗯，云雀酱又诚恳又勇敢，还喜欢豆芽菜。,嗯，雲雀醬又誠懇又勇敢，還喜歡豆芽菜。,嗯，雲雀醬又誠懇又勇敢，還喜歡豆芽菜。
Text_1_1727,(^o^)我双手赞成云雀酱的加入！！,(^o^)我雙手贊成雲雀醬的加入！！,(^o^)我雙手贊成雲雀醬的加入！！
Text_1_1728,没办法，日影，你认为呢？,沒辦法，日影，你認為呢？,沒辦法，日影，你認為呢？
Text_1_1729,日、日影同学，你好……,日、日影同學，你好……,日、日影同學，你好……
Text_1_1730,那，(ˉ﹃ˉ)来吧。,那，(ˉ﹃ˉ)來吧。,那，(ˉ﹃ˉ)來吧。
Text_1_1731,你没有要表个态的意思吗？,你沒有要表個態的意思嗎？,你沒有要表個態的意思嗎？
Text_1_1732,噢，我好像没有什么想说的，(ˉ﹃ˉ)就这样吧。,噢，我好像沒有什麼想說的，(ˉ﹃ˉ)就這樣吧。,噢，我好像沒有什麼想說的，(ˉ﹃ˉ)就這樣吧。
Text_1_1733,其实吧，我觉得……,其實吧，我覺得……,其實吧，我覺得……
Text_1_1734,终于有个人替我被咏缠着说豆芽菜话题了。,終於有個人替我被詠纏著說豆芽菜話題了。,終於有個人替我被詠纏著說豆芽菜話題了。
Text_1_1735,(ˉ﹃ˉ)我觉得挺好的。,(ˉ﹃ˉ)我覺得挺好的。,(ˉ﹃ˉ)我覺得挺好的。
Text_1_1736,(⊙?⊙)你们蛇女的人到底都是凭什么来认可一个人的啊！？！,(⊙?⊙)你們蛇女的人到底都是憑什麼來認可一個人的啊！？！,(⊙?⊙)你們蛇女的人到底都是憑什麼來認可一個人的啊！？！
Text_1_1737,(ˉ﹃ˉ)无所谓拉，做做样子就好了。,(ˉ﹃ˉ)無所謂拉，做做樣子就好了。,(ˉ﹃ˉ)無所謂拉，做做樣子就好了。
Text_1_1738,欸？,欸？,欸？
Text_1_1739,以后就是同学了，咏的豆芽菜话题就交给你了，云雀。,以後就是同學了，詠的豆芽菜話題就交給你了，雲雀。,以後就是同學了，詠的豆芽菜話題就交給你了，雲雀。
Text_1_1740,(⊙?⊙)呃，嗯！云雀会加油的！,(⊙?⊙)呃，嗯！雲雀會加油的！,(⊙?⊙)呃，嗯！雲雀會加油的！
Text_1_1741,(╰_╯)#我只承认有实力的人。,(╰_╯)#我只承認有實力的人。,(╰_╯)#我只承認有實力的人。
Text_1_1742,(⊙︿⊙)云、云雀会尽力的！,(⊙︿⊙)雲、雲雀會盡力的！,(⊙︿⊙)雲、雲雀會盡力的！
Text_1_1743,焰是蛇女队长，肯定不好对付。,焰是蛇女隊長，肯定不好對付。,焰是蛇女隊長，肯定不好對付。
Text_1_1744,云雀，站我身后！,雲雀，站我身後！,雲雀，站我身後！
Text_1_1745,我感觉到了异类的气息。,我感覺到了異類的氣息。,我感覺到了異類的氣息。
Text_1_1746,(￣_，￣ )你的感觉没错，准确的来说，我并不是人类。,(￣_，￣ )你的感覺沒錯，準確的來說，我並不是人類。,(￣_，￣ )你的感覺沒錯，準確的來說，我並不是人類。
Text_1_1747,这个感觉……(⊙?⊙)你是木偶吗？！,這個感覺……(⊙?⊙)你是木偶嗎？！,這個感覺……(⊙?⊙)你是木偶嗎？！
Text_1_1748,不对，跟春花的木偶感觉不同……,不對，跟春花的木偶感覺不同……,不對，跟春花的木偶感覺不同……
Text_1_1749,那个傀儡师吗？我对她挺感兴趣的——看看她还有些什么手段！,那個傀儡師嗎？我對她挺感興趣的——看看她還有些什麼手段！,那個傀儡師嗎？我對她挺感興趣的——看看她還有些什麼手段！
Text_1_1750,你们通过了。,你們通過了。,你們通過了。
Text_1_1751,我们恶忍不在乎你是否背叛。,我們惡忍不在乎你是否背叛。,我們惡忍不在乎你是否背叛。
Text_1_1752,(￣_，￣ )同伴的价值，只在于能力，在于完成任务。,(￣_，￣ )同伴的價值，只在於能力，在於完成任務。,(￣_，￣ )同伴的價值，只在於能力，在於完成任務。
Text_1_1753,(⊙v⊙)你已经正式入学半藏忍者学院，以后大家就是同伴了。,(⊙v⊙)你已經正式入學半藏忍者學院，以後大家就是同伴了。,(⊙v⊙)你已經正式入學半藏忍者學院，以後大家就是同伴了。
Text_1_1754,(⊙v⊙)我是班长斑鸠。雾夜老师常年外出，所以平日里就由我来督促大家日常训练。。,(⊙v⊙)我是班長斑鳩。霧夜老師常年外出，所以平日裡就由我來督促大家日常訓練。。,(⊙v⊙)我是班長斑鳩。霧夜老師常年外出，所以平日裡就由我來督促大家日常訓練。。
Text_1_1755,大体上是这样没错，(￣.￣)不过如果你偷懒，日后就会落得像那个二年级的飞鸟同学一样的下场。,大體上是這樣沒錯，(￣.￣)不過如果你偷懶，日後就會落得像那個二年級的飛鳥同學一樣的下場。,大體上是這樣沒錯，(￣.￣)不過如果你偷懶，日後就會落得像那個二年級的飛鳥同學一樣的下場。
Text_1_1756,飞鸟？( ⊙ o ⊙ )哪样？,飛鳥？( ⊙ o ⊙ )哪樣？,飛鳥？( ⊙ o ⊙ )哪樣？
Text_1_1757,哦，没什么大不了的。╮(╯_╰)╭其实也就被三年级的葛城日常玩♂弄一番罢了。,哦，沒什麼大不了的。╮(╯_╰)╭其實也就被三年級的葛城日常玩♂弄一番罷了。,哦，沒什麼大不了的。╮(╯_╰)╭其實也就被三年級的葛城日常玩♂弄一番罷了。
Text_1_1758,那、那个！-_-|||斑鸠同学，请立刻马上及时训练我！,那、那個！-_-|||斑鳩同學，請立刻馬上及時訓練我！,那、那個！-_-|||斑鳩同學，請立刻馬上及時訓練我！
Text_1_1759,(⊙ ︿ ⊙)这样，还行吧？,(⊙ ︿ ⊙)這樣，還行吧？,(⊙ ︿ ⊙)這樣，還行吧？
Text_1_1760,看来你很努力呢，(*^__^*) 这样一定没问题的！,看來你很努力呢，(*^__^*) 這樣一定沒問題的！,看來你很努力呢，(*^__^*) 這樣一定沒問題的！
Text_1_1761,嘛，︿(￣︶￣)︿马马虎虎吧，差不多应该能少被葛城揉个一两把了。,嘛，︿(￣︶￣)︿馬馬虎虎吧，差不多應該能少被葛城揉個一兩把了。,嘛，︿(￣︶￣)︿馬馬虎虎吧，差不多應該能少被葛城揉個一兩把了。
Text_1_1762,……(。??)ノ同学们请再次鞭笞我教育我！！,……(。??)ノ同學們請再次鞭笞我教育我！！,……(。??)ノ同學們請再次鞭笞我教育我！！
Text_1_1763,这下，(ˉ﹃ˉ)怎样？,這下，(ˉ﹃ˉ)怎樣？,這下，(ˉ﹃ˉ)怎樣？
Text_1_1764,￣△￣呃，其实你不用这么在意……毕竟柳生同学虽然才一年级，但是确实个百年不遇的奇才……,￣△￣呃，其實你不用這麼在意……畢竟柳生同學雖然才一年級，但是確實個百年不遇的奇才……,￣△￣呃，其實你不用這麼在意……畢竟柳生同學雖然才一年級，但是確實個百年不遇的奇才……
Text_1_1765,那还要说，(￣m￣)云雀由我来保护！,那還要說，(￣m￣)雲雀由我來保護！,那還要說，(￣m￣)雲雀由我來保護！
Text_1_1766,区区人类——(￣m￣)我可是不会输的！,區區人類——(￣m￣)我可是不會輸的！,區區人類——(￣m￣)我可是不會輸的！
Text_1_1767,那、那个...其实你不用这么勉强自己——,那、那個...其實你不用這麼勉強自己——,那、那個...其實你不用這麼勉強自己——
Text_1_1768,不好意思大家，我又迟到了——( ⊙ o ⊙ )啊！！！葛城姐不能揉那里——！！,不好意思大家，我又遲到了——( ⊙ o ⊙ )啊！！！葛城姐不能揉那裡——！！,不好意思大家，我又遲到了——( ⊙ o ⊙ )啊！！！葛城姐不能揉那裡——！！
Text_1_1769,（继续蹂躏）有什么关系嘛~老娘一定会好好帮你塑形的~~,（繼續蹂躪）有什麼關係嘛~老娘一定會好好幫你塑形的~~,（繼續蹂躪）有什麼關係嘛~老娘一定會好好幫你塑形的~~
Text_1_1770,(￣_，￣ )哦哟哦哟，快看！活例子！,(￣_，￣ )哦喲哦喲，快看！活例子！,(￣_，￣ )哦喲哦喲，快看！活例子！
Text_1_1771,！！！——我的训练还没做完，还请同学们继续教育我这只辣鸡！！！,！！！——我的訓練還沒做完，還請同學們繼續教育我這只辣雞！！！,！！！——我的訓練還沒做完，還請同學們繼續教育我這只辣雞！！！
Text_1_1772,喔~哦~这就是新来的学妹吧~?(? ? ??)~先过来让老娘开心一把噻——~,喔~哦~這就是新來的學妹吧~?(? ? ??)~先過來讓老娘開心一把噻——~,喔~哦~這就是新來的學妹吧~?(? ? ??)~先過來讓老娘開心一把噻——~
Text_1_1773,葛城同学！请不要把新同学带到莫名其妙的某骚扰道路上去！,葛城同學！請不要把新同學帶到莫名其妙的某騷擾道路上去！,葛城同學！請不要把新同學帶到莫名其妙的某騷擾道路上去！
Text_1_1774,有什么关系嘛?(? ? ??)~——如果不能再自由地揉欧派那生活会很无趣的~~,有什麼關係嘛?(? ? ??)~——如果不能再自由地揉歐派那生活會很無趣的~~,有什麼關係嘛?(? ? ??)~——如果不能再自由地揉歐派那生活會很無趣的~~
Text_1_1775,(。﹏。*)那个——我还有重要的训练要做，葛城学姐还是日后再见吧！！,(。﹏。*)那個——我還有重要的訓練要做，葛城學姐還是日後再見吧！！,(。﹏。*)那個——我還有重要的訓練要做，葛城學姐還是日後再見吧！！
Text_1_1776,(???)嘛，既然这样那好吧——?(? ? ??)~斑鸠亲，那你给我——,(???)嘛，既然這樣那好吧——?(? ? ??)~斑鳩親，那你給我——,(???)嘛，既然這樣那好吧——?(? ? ??)~斑鳩親，那你給我——
Text_1_1777,(。﹏。*)那个……作、为班长，我想我有义务陪新来的同学一起试炼！！,(。﹏。*)那個……作、為班長，我想我有義務陪新來的同學一起試煉！！,(。﹏。*)那個……作、為班長，我想我有義務陪新來的同學一起試煉！！
Text_1_1778,……那么接下来就由我来做你的对手！来吧！,……那麼接下來就由我來做你的對手！來吧！,……那麼接下來就由我來做你的對手！來吧！
Text_1_1779,……果然你也有着不一般的天赋呢！,……果然你也有著不一般的天賦呢！,……果然你也有著不一般的天賦呢！
Text_1_1780,喏，——这个忍法书碎片是作为你加入我们学院的赠礼！,喏，——這個忍法書碎片是作為你加入我們學院的贈禮！,喏，——這個忍法書碎片是作為你加入我們學院的贈禮！
Text_1_1781,(～﹃～)~真好呢——,(～﹃～)~真好呢——,(～﹃～)~真好呢——
Text_1_1782,?(????)小云雀~这一天我等了很久了~,?(????)小雲雀~這一天我等了很久了~,?(????)小雲雀~這一天我等了很久了~
Text_1_1783,春花大人，以后我们就是同伴了……吧？,春花大人，以後我們就是同伴了……吧？,春花大人，以後我們就是同伴了……吧？
Text_1_1784,说什么傻话呀，那是当然的了！,說什麼傻話呀，那是當然的了！,說什麼傻話呀，那是當然的了！
Text_1_1785,(￣_，￣ )喂，傀儡师。,(￣_，￣ )喂，傀儡師。,(￣_，￣ )喂，傀儡師。
Text_1_1786,(￣_，￣ )怎么不问问我让不让云雀跟你们在一起？,(￣_，￣ )怎麼不問問我讓不讓雲雀跟你們在一起？,(￣_，￣ )怎麼不問問我讓不讓雲雀跟你們在一起？
Text_1_1787,(⊙ ︿ ⊙)怎么，是来碍事的吗？！,(⊙ ︿ ⊙)怎麼，是來礙事的嗎？！,(⊙ ︿ ⊙)怎麼，是來礙事的嗎？！
Text_1_1788,(⊙?⊙)我的傀儡术居然不能操纵你？！,(⊙?⊙)我的傀儡術居然不能操縱你？！,(⊙?⊙)我的傀儡術居然不能操縱你？！
Text_1_1789,<(￣︶￣)>我可比你那些意志薄弱的玩具们高级多了！,<(￣︶￣)>我可比你那些意志薄弱的玩具們高級多了！,<(￣︶￣)>我可比你那些意志薄弱的玩具們高級多了！
Text_1_1790,对啊！大姐头可是加强版的人偶呢！,對啊！大姐頭可是加強版的人偶呢！,對啊！大姐頭可是加強版的人偶呢！
Text_1_1791,￣△￣云雀……你从一开始就是蛇女那边的人吧……,￣△￣雲雀……你從一開始就是蛇女那邊的人吧……,￣△￣雲雀……你從一開始就是蛇女那邊的人吧……
Text_1_1792,这样应该算是过关了吧……,這樣應該算是過關了吧……,這樣應該算是過關了吧……
Text_1_1793,应该将就吧...剩下的事情你一个人应付的来吗？,應該將就吧...剩下的事情你一個人應付的來嗎？,應該將就吧...剩下的事情你一個人應付的來嗎？
Text_1_1794,(#￣～￣#)云雀不能认输！云雀要对自己的错负责！,(#￣～￣#)雲雀不能認輸！雲雀要對自己的錯負責！,(#￣～￣#)雲雀不能認輸！雲雀要對自己的錯負責！
Text_1_1795,呼~~春花小姐终于走了。云雀对着她非常紧张呢。,呼~~春花小姐終於走了。雲雀對著她非常緊張呢。,呼~~春花小姐終於走了。雲雀對著她非常緊張呢。
Text_1_1796,(＝。＝)春花到底看上了你什么？,(＝。＝)春花到底看上了你什麼？,(＝。＝)春花到底看上了你什麼？
Text_1_1797,还有那个铃音……,還有那個鈴音……,還有那個鈴音……
Text_1_1798,云雀也想不明白……(⊙﹏⊙)不过云雀觉得大家都不是坏人。,雲雀也想不明白……(⊙﹏⊙)不過雲雀覺得大家都不是壞人。,雲雀也想不明白……(⊙﹏⊙)不過雲雀覺得大家都不是壞人。
Text_1_1799,诶？连透视天赋的云雀都这么说，我就更好奇了...,誒？連透視天賦的雲雀都這麼說，我就更好奇了...,誒？連透視天賦的雲雀都這麼說，我就更好奇了...
Text_1_1800,要不，?(????)我们去隔壁听听看她们在说什么吧？,要不，?(????)我們去隔壁聽聽看她們在說什麼吧？,要不，?(????)我們去隔壁聽聽看她們在說什麼吧？
Text_1_1801,￣△￣谁在那里！？,￣△￣誰在那裡！？,￣△￣誰在那裡！？
Text_1_1802,(⊙﹏⊙)云雀、云雀只是……,(⊙﹏⊙)雲雀、雲雀只是……,(⊙﹏⊙)雲雀、雲雀只是……
Text_1_1803,?(????)原来是小云雀呀，看来你来投靠我们果然有不一般的目的呢……,?(????)原來是小雲雀呀，看來你來投靠我們果然有不一般的目的呢……,?(????)原來是小雲雀呀，看來你來投靠我們果然有不一般的目的呢……
Text_1_1804,可恶！好不容易逃出来。,可惡！好不容易逃出來。,可惡！好不容易逃出來。
Text_1_1805,可是云雀被抓了，怎么办...我要不要回去告诉半藏的人？,可是雲雀被抓了，怎麼辦...我要不要回去告訴半藏的人？,可是雲雀被抓了，怎麼辦...我要不要回去告訴半藏的人？
Text_1_1806,蛇女忍众，一级警备！！,蛇女忍眾，一級警備！！,蛇女忍眾，一級警備！！
Text_1_1807,(⊙﹏⊙)怎么回事？,(⊙﹏⊙)怎麼回事？,(⊙﹏⊙)怎麼回事？
Text_1_1808,前方消息。好像是半藏的学生突袭。,前方消息。好像是半藏的學生突襲。,前方消息。好像是半藏的學生突襲。
Text_1_1809,(╰_╯)#我就知道！那个大胸娃娃一定是卧底！,(╰_╯)#我就知道！那個大胸娃娃一定是臥底！,(╰_╯)#我就知道！那個大胸娃娃一定是臥底！
Text_1_1810,道元,道元,道元
Text_1_1811,——你们居然让蛇女的位置暴露了！我要让你们全部毁灭！！,——你們居然讓蛇女的位置暴露了！我要讓你們全部毀滅！！,——你們居然讓蛇女的位置暴露了！我要讓你們全部毀滅！！
Text_1_1812,道元大人！请先允许我们先与半藏一战，我们的命咒都在大人手里，战败必死！,道元大人！請先允許我們先與半藏一戰，我們的命咒都在大人手裡，戰敗必死！,道元大人！請先允許我們先與半藏一戰，我們的命咒都在大人手裡，戰敗必死！
Text_1_1813,命咒？！蛇女的学生们难道是被威胁的……,命咒？！蛇女的學生們難道是被威脅的……,命咒？！蛇女的學生們難道是被威脅的……
Text_1_1814,坏了，￣△￣不能让他们打起来！,壞了，￣△￣不能讓他們打起來！,壞了，￣△￣不能讓他們打起來！
Text_1_1815,半藏众人,半藏眾人,半藏眾人
Text_1_1816,忍者——结界！！！,忍者——結界！！！,忍者——結界！！！
Text_1_1817,斑鸠同学！先住手！,斑鳩同學！先住手！,斑鳩同學！先住手！
Text_1_1818,我们是来救云雀的！(╰_╯)#你先让开！,我們是來救雲雀的！(╰_╯)#你先讓開！,我們是來救雲雀的！(╰_╯)#你先讓開！
Text_1_1819,快住手！蛇女的学生们都被下了命咒！,快住手！蛇女的學生們都被下了命咒！,快住手！蛇女的學生們都被下了命咒！
Text_1_1820,(⊙?⊙)你说什么？！！,(⊙?⊙)你說什麼？！！,(⊙?⊙)你說什麼？！！
Text_1_1821,如若战败，她们就要被那个幕后黑手道元发动命咒而死！,如若戰敗，她們就要被那個幕後黑手道元發動命咒而死！,如若戰敗，她們就要被那個幕後黑手道元發動命咒而死！
Text_1_1822,？！！！快去通知其他人！,？！！！快去通知其他人！,？！！！快去通知其他人！
Text_1_1823,(￣_，￣ )老娘抓到你了！来决一胜负吧！！,(￣_，￣ )老娘抓到你了！來決一勝負吧！！,(￣_，￣ )老娘抓到你了！來決一勝負吧！！
Text_1_1824,切，厉害了，我的哥？脾气还是那么暴躁啊？,切，厲害了，我的哥？脾氣還是那麼暴躁啊？,切，厲害了，我的哥？脾氣還是那麼暴躁啊？
Text_1_1825,(⊙ ︿ ⊙)那就先让我来教育教育你这个某冷淡吧！,(⊙ ︿ ⊙)那就先讓我來教育教育你這個某冷淡吧！,(⊙ ︿ ⊙)那就先讓我來教育教育你這個某冷淡吧！
Text_1_1826,(＝。＝)等等，葛城姐！,(＝。＝)等等，葛城姐！,(＝。＝)等等，葛城姐！
